Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50391615,"Cursed Fates (Zodiac Academy, #5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",4,4.31,King's Hollow,Kindle Edition,886,2020,2020,2025/04/21,2025/03/05,,,read,,,,1,0
208177288,"Powerless: Der Thron (Die Powerless-Trilogie, #3)",Lauren  Roberts,"Roberts, Lauren",,"=""3641317223""","=""9783641317225""",0,4.32,Penhaligon Verlag,Kindle Edition,0,2025,2025,,2024/12/16,"dystopian-fantasy, currently-reading","dystopian-fantasy (#30), currently-reading (#1)",currently-reading,,,,1,0
220326403,War of Her Heart,Lexi  Hodges,"Hodges, Lexi",,"=""""","=""""",3,3.76,,Kindle Edition,320,2024,,2025/03/17,2025/02/04,,,read,,,,1,0
53146871,"Shadow Princess (Zodiac Academy, #4)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",4,4.27,King's Hollow,Kindle Edition,724,2020,2020,2025/03/10,2025/03/05,,,read,,,,1,0
49551172,"The Reckoning (Zodiac Academy, #3)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",5,4.33,King's Hollow,Kindle Edition,561,2019,2019,2025/03/08,2025/03/05,,,read,,,,1,0
51966347,"Ruthless Fae (Zodiac Academy, #2)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",5,4.20,King's Hollow,Kindle Edition,475,2019,2019,2025/03/06,2025/03/05,,,read,,,,1,0
59412252,"Seth on the Moon (Zodiac Academy, #5.6)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,3.80,,ebook,11,2021,2021,,2025/03/05,to-read,to-read (#103),to-read,,,,0,0
207603149,"Live and Let Lionel (Zodiac Academy, #8.6)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,3.86,King's Hollow,Kindle Edition,330,2024,2024,,2025/03/05,to-read,to-read (#102),to-read,,,,0,0
54798561,"The Big A.S.S. Party (Zodiac Academy, #5.5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,3.82,Independently Published,Kindle Edition,98,2020,2020,,2025/03/05,to-read,to-read (#101),to-read,,,,0,0
177899172,"Beyond the Veil (Zodiac Academy, #8.5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,3.85,King's Hollow,Kindle Edition,416,2023,2023,,2025/03/05,to-read,to-read (#100),to-read,,,,0,0
49646047,"Origins of an Academy Bully (Zodiac Academy, #0.5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,3.76,Independently Published,Kindle Edition,94,2019,2019,,2025/03/05,to-read,to-read (#99),to-read,,,,0,0
58800799,"The Awakening as Told by the Boys (Zodiac Academy, #1.5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.07,King's Hollow,Kindle Edition,534,2021,2021,,2025/03/05,to-read,to-read (#98),to-read,,,,0,0
198954263,"Restless Stars (Zodiac Academy, #9)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.28,King's Hollow,Kindle Edition,1153,2024,2024,,2025/03/05,to-read,to-read (#97),to-read,,,,0,0
59808792,"Sorrow and Starlight (Zodiac Academy, #8)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.03,Amazon Digital Services,Kindle Edition,1242,2022,2022,,2025/03/05,to-read,to-read (#96),to-read,,,,0,0
56474282,"Heartless Sky (Zodiac Academy, #7)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.20,Amazon Digital Services,Kindle Edition,991,2021,2021,,2025/03/05,to-read,to-read (#95),to-read,,,,0,0
